"","latitude","longitude","name","cuisine","price","rating","review_count","neighborhood","borough"
"145",40.7445212750732,-73.9845828515206,"Marta","italian","$$$",4,786,"Midtown","Manhattan"
"146",40.7662168,-73.9867943,"Bocca di Bacco Hell's Kitchen","italian","$$",3.5,620,"Hell's Kitchen","Manhattan"
"147",40.707492,-74.002571,"IL Brigante","italian","$$",4,350,"Financial District","Manhattan"
"148",40.7606782444803,-73.9612435559085,"Tiella","italian","$$$",4,179,"Upper East Side","Manhattan"
"149",40.7627823203802,-73.9654829353094,"Scalinatella Restaurant","italian","$$$$",4,251,"Upper East Side","Manhattan"
"150",40.7549171,-73.9650879,"La Villetta","italian","$$$",4,68,"Midtown","Manhattan"
"151",40.729807,-73.999159,"Il Mulino New York - Downtown","italian","$$$$",4,517,"Greenwich Village","Manhattan"
"152",40.719685,-73.997062,"Da Nico Ristorante","italian","$$",3.5,663,"Little Italy","Manhattan"
"153",40.79894,-73.96174,"Osteria 106","italian","$$",4.5,79,"Upper West Side","Manhattan"
"154",40.7262256596862,-73.9840574049125,"Giano Restaurant","italian","$$",4,543,"East Village","Manhattan"
"155",40.7806,-73.95882,"Ristorante Morini","italian","$$$",4,263,"Upper East Side","Manhattan"
"156",40.750647,-73.9737998,"Osteria Laguna","italian","$$",3.5,305,"Midtown","Manhattan"
"157",40.73115,-74.00319,"Trattoria Pesce Pasta","italian","$$",4,218,"West Village","Manhattan"
"158",40.75495,-73.9682718,"La Pecora Bianca","italian","$$",3.5,133,"Midtown","Manhattan"
"159",40.729047,-74.002153,"Bar Pitti","italian","$$",3.5,970,"Greenwich Village","Manhattan"
"160",40.70362,-73.99165,"Cecconi's Dumbo","italian","$$$",3.5,480,"DUMBO","Brooklyn"
"161",40.71087,-74.00753,"Da Claudio","italian","$$",4,394,"Financial District","Manhattan"
"162",40.7621418,-73.9841952,"Azalea Ristorante","italian","$$$",4,248,"Theater District","Manhattan"
"163",40.78031,-73.98018,"Piccolo Cafe","italian","$$",3.5,498,"Upper West Side","Manhattan"
"164",40.7617199,-73.99002,"Amarone NY","italian","$$",4,294,"Hell's Kitchen","Manhattan"
"165",40.7173964385114,-74.0093277537459,"Scalini Fedeli","italian","$$$$",4.5,296,"Tribeca","Manhattan"
"166",40.75611,-73.96728,"Mimi's Italian Restaurant & Piano Bar","italian","$$",3.5,260,"Midtown","Manhattan"
"167",40.75522,-73.98539,"Paul's On Times Square","italian","$$",4,288,"Theater District","Manhattan"
"168",40.683438,-73.995711,"Gersi","italian","$$",4.5,204,"Carroll Gardens","Brooklyn"
"169",40.7614994602915,-73.976308999227,"Il Gattopardo","italian","$$$",4,134,"Midtown","Manhattan"
"170",40.74358,-73.9892,"La Pecora Bianca","italian","$$",4,460,"Flatiron District","Manhattan"
"171",40.77932,-73.9809,"Salumeria Rosi","italian","$$$",4,451,"Upper West Side","Manhattan"
"172",40.7181606872639,-73.9976975651144,"Puglia Ristorante","italian","$$",4,427,"Little Italy","Manhattan"
"173",40.75502,-73.96913,"Sofia Wine Bar","italian","$$",4,612,"Midtown","Manhattan"
"174",40.75502,-73.96913,"Sofia Wine Bar","italian","$$",4,612,"Midtown","Manhattan"
"175",40.73115,-74.00233,"Palma","italian","$$$",4,662,"West Village","Manhattan"
"176",40.77506,-73.98087,"Il Violino","italian","$$",3.5,244,"Upper West Side","Manhattan"
"177",40.770036,-73.9577755,"Bigoi Venezia","italian","$",4.5,181,"Upper East Side","Manhattan"
"178",40.7600530715894,-73.9727372548065,"Cellini Restaurant","italian","$$$",4,141,"Midtown","Manhattan"
"179",40.762711,-73.986708,"Don Antonio","italian","$$",4,1317,"Hell's Kitchen","Manhattan"
"180",40.7670079145424,-73.9826598018408,"Pasta by Hudson","italian","$$",4.5,45,"Midtown","Manhattan"
"181",40.788425,-73.953643,"Tre Otto","italian","$$",3.5,154,"East Harlem","Manhattan"
